"","county","date","cases"
"166","苗栗縣",2021-05-15,2
"167","高雄市",2021-05-16,7
"168","台中市",2021-05-16,20
"169","台北市",2021-05-16,894
"170","基隆市",2021-05-16,24
"171","宜蘭縣",2021-05-16,29
"172","屏東縣",2021-05-16,3
"173","彰化縣",2021-05-16,50
"174","新北市",2021-05-16,1031
"175","新竹縣",2021-05-16,4
"176","桃園市",2021-05-16,121
"177","南投縣",2021-05-17,5
"178","高雄市",2021-05-17,12
"179","台中市",2021-05-17,25
"180","台北市",2021-05-17,1109
"181","台南市",2021-05-17,5
"182","基隆市",2021-05-17,31
"183","宜蘭縣",2021-05-17,32
"184","屏東縣",2021-05-17,4
"185","彰化縣",2021-05-17,76
"186","新北市",2021-05-17,1285
"187","新竹市",2021-05-17,5
"188","新竹縣",2021-05-17,5
"189","桃園市",2021-05-17,148
"190","花蓮縣",2021-05-17,1
"191","雲林縣",2021-05-17,3
"192","南投縣",2021-05-18,6
"193","高雄市",2021-05-18,17
"194","台中市",2021-05-18,30
"195","台北市",2021-05-18,1298
"196","台南市",2021-05-18,6
"197","台東縣",2021-05-18,1
"198","基隆市",2021-05-18,39
"199","宜蘭縣",2021-05-18,36
"200","屏東縣",2021-05-18,5
"201","彰化縣",2021-05-18,84
"202","新北市",2021-05-18,1505
"203","新竹市",2021-05-18,8
"204","桃園市",2021-05-18,163
"205","花蓮縣",2021-05-18,3
"206","台中市",2021-05-19,42
"207","台北市",2021-05-19,1424
"208","台東縣",2021-05-19,2
"209","基隆市",2021-05-19,46
"210","宜蘭縣",2021-05-19,38
"211","屏東縣",2021-05-19,6
"212","彰化縣",2021-05-19,91
"213","新北市",2021-05-19,1730
"214","新竹市",2021-05-19,10
"215","新竹縣",2021-05-19,6
"216","桃園市",2021-05-19,179
"217","花蓮縣",2021-05-19,6
"218","雲林縣",2021-05-19,4
"219","南投縣",2021-05-20,10
"220","高雄市",2021-05-20,21
"221","台中市",2021-05-20,54
"222","台北市",2021-05-20,1603
"223","嘉義市",2021-05-20,1
"224","嘉義縣",2021-05-20,2
"225","基隆市",2021-05-20,53
"226","宜蘭縣",2021-05-20,41
"227","屏東縣",2021-05-20,14
"228","彰化縣",2021-05-20,102
"229","新北市",2021-05-20,2001
"230","新竹市",2021-05-20,12
"231","新竹縣",2021-05-20,9
"232","桃園市",2021-05-20,206
"233","花蓮縣",2021-05-20,8
"234","苗栗縣",2021-05-20,3
"235","雲林縣",2021-05-20,6
"236","南投縣",2021-05-21,13
"237","高雄市",2021-05-21,25
"238","台中市",2021-05-21,61
"239","台北市",2021-05-21,1789
"240","台南市",2021-05-21,9
"241","嘉義市",2021-05-21,2
"242","基隆市",2021-05-21,61
"243","宜蘭縣",2021-05-21,44
"244","屏東縣",2021-05-21,15
"245","彰化縣",2021-05-21,116
"246","新北市",2021-05-21,2254
"247","新竹市",2021-05-21,13
"248","新竹縣",2021-05-21,10
"249","桃園市",2021-05-21,225
"250","花蓮縣",2021-05-21,11
"251","苗栗縣",2021-05-21,8
"252","南投縣",2021-05-22,16
"253","高雄市",2021-05-22,31
"254","台中市",2021-05-22,68
"255","台北市",2021-05-22,1935
"256","台南市",2021-05-22,13
"257","基隆市",2021-05-22,70
"258","宜蘭縣",2021-05-22,53
"259","屏東縣",2021-05-22,18
"260","彰化縣",2021-05-22,125
"261","新北市",2021-05-22,2467
"262","新竹縣",2021-05-22,11
"263","桃園市",2021-05-22,248
"264","澎湖縣",2021-05-22,1
"265","花蓮縣",2021-05-22,14
"266","雲林縣",2021-05-22,8
"267","南投縣",2021-05-23,17
"268","高雄市",2021-05-23,34
"269","台中市",2021-05-23,77
"270","台北市",2021-05-23,2065
"271","台南市",2021-05-23,15
"272","台東縣",2021-05-23,4
"273","嘉義市",2021-05-23,3
"274","嘉義縣",2021-05-23,3
"275","基隆市",2021-05-23,79
"276","宜蘭縣",2021-05-23,55
"277","屏東縣",2021-05-23,20
"278","彰化縣",2021-05-23,139
"279","新北市",2021-05-23,2668
"280","新竹市",2021-05-23,14
"281","新竹縣",2021-05-23,12
"282","桃園市",2021-05-23,264
"283","花蓮縣",2021-05-23,15
"284","苗栗縣",2021-05-23,10
"285","南投縣",2021-05-24,19
"286","高雄市",2021-05-24,36
"287","台中市",2021-05-24,96
"288","台北市",2021-05-24,2250
"289","台南市",2021-05-24,25
"290","台東縣",2021-05-24,6
"291","基隆市",2021-05-24,100
"292","宜蘭縣",2021-05-24,59
"293","屏東縣",2021-05-24,24
"294","彰化縣",2021-05-24,143
"295","新北市",2021-05-24,2954
"296","新竹市",2021-05-24,15
"297","新竹縣",2021-05-24,15
"298","桃園市",2021-05-24,290
"299","花蓮縣",2021-05-24,16
